id,name,functions,start_ea,end_ea
2,C:\TheSims\Sims\SimsBuild\Code\msrc\Behavior\behavior.cpp,0,4362832,4380639
4,C:\TheSims\Sims\SimsBuild\Code\msrc\File\IFFResFile2.cpp,0,4554896,4567103
7,C:\TheSims\Sims\SimsBuild\Code\msrc\Objects\ObjectFolder.cpp,0,4785088,4806127
9,C:\TheSims\Sims\SimsBuild\Code\msrc\Util\rmemwrap.cpp,0,5166320,5169919
10,C:\TheSims\Sims\SimsBuild\Code\msrc\src\Routing.cpp,0,5209712,5221647
11,C:\TheSims\Sims\SimsBuild\Code\msrc\File\SeqResFile.cpp,0,5233552,5237887
12,C:\TheSims\Sims\SimsBuild\Code\msrc\src\TimeOfDay.cpp,0,5315536,5316543
13,C:\TheSims\Sims\SimsBuild\Code\msrc\src\XRouting.cpp,0,5472656,5490127
14,C:\TheSims\Sims\SimsBuild\Code\msrc\Graphics\FloorBlitter.cpp,0,5761888,5772703
15,C:\TheSims\Sims\SimsBuild\Code\msrc\Graphics\StandardBlitter16.cpp,0,6110432,6120383
16,C:\TheSims\Sims\SimsBuild\Code\msrc\Graphics\surfutils.cpp,0,6120384,6134815
19,C:\TheSims\Sims\SimsBuild\Code\Sims\NghInterface.cpp,0,6443328,6450815
20,C:\TheSims\Sims\SimsBuild\Code\Sims\OptionsMgr.cpp,0,6476992,6488015
21,C:\TheSims\Sims\SimsBuild\Code\Sims\WinDisposePopup.cpp,0,6750128,6758927
23,C:\TheSims\Sims\SimsBuild\Code\Sims\WinPeople.cpp,0,6824064,6858863
24,C:\TheSims\Sims\SimsBuild\Code\Sims\WinSkill.cpp,0,6934768,6937743
25,C:\TheSims\Sims\SimsBuild\Code\Sims\WinSubpanelHouse.cpp,0,6937744,6949119
26,C:\TheSims\Sims\SimsBuild\Code\Sims\WinViewControl.cpp,0,7014032,7055407
27,C:\TheSims\Sims\SimsBuild\Code\msrc\BEdit\BHNode.cpp,0,7065984,7081439
28,C:\TheSims\Sims\SimsBuild\Code\msrc\BEdit\BHTree.cpp,0,7081440,7120127
29,C:\TheSims\Sims\SimsBuild\Code\Edith\Dialogs\EditTreeDialog.cpp,0,7300064,7314783
30,C:\TheSims\Sims\SimsBuild\Code\Edith\Dialogs\GetString.cpp,0,7357840,7371071
31,C:\TheSims\Sims\SimsBuild\Code\Sims\Dialogs\FloatConstantsDialog.cpp,0,7480320,7492911
32,C:\TheSims\Sims\SimsBuild\Code\Edith\Dialogs\ObjFnTableDialog.cpp,0,7508656,7526031
33,C:\TheSims\Sims\SimsBuild\Code\Sims\Dialogs\RoomDialog.cpp,0,7526032,7542415
34,C:\TheSims\Sims\SimsBuild\Code\Sims\Dialogs\SimGlobalsDialog.cpp,0,7542416,7556591
35,C:\TheSims\Sims\SimsBuild\Code\Sims\Dialogs\TraceDialog.cpp,0,7559760,7587935
36,C:\TheSims\Sims\SimsBuild\Code\Sims\WinNeighborhood.cpp,0,7751616,7818687
37,C:\TheSims\Sims\SimsBuild\Code\msrc\src\RoofMeshFactory.cpp,0,7818688,7839887
38,C:\TheSims\Sims\SimsBuild\Code\msrc\Sound\AudioInfo.cpp,0,7839888,7843039
39,C:\TheSims\Sims\SimsBuild\Code\msrc\Sound\Boxx.cpp,0,7843040,8001199
42,C:\TheSims\Sims\SimsBuild\Code\vitaboy\skeleton.cpp,0,8264592,8286527
46,occcont.cpp,0,8443784,8451221
47,occsite.cpp,0,8451222,8481855
49,occdlg.cpp,0,8493214,8497057
50,occlock.cpp,0,8497058,8498047
51,olevar.cpp,0,8498048,8524025
52,oletyplb.cpp,0,8524026,8525855
53,oledoccl.cpp,0,8525856,8529407
54,oledoctg.cpp,0,8529408,8532172
55,oledocob.cpp,0,8532173,8541601
56,oledocvw.cpp,0,8541602,8545183
57,printf.c,0,8545296,8548223
58,dbgheap.c,457,8548224,268503727
59,onexit.c,0,8555120,8558943
60,fopen.c,0,8558944,8559983
61,dbgrpt.c,0,8562656,268532047
62,fscanf.c,0,8569536,8570431
63,winsig.c,0,8570640,8572488
64,fseek.c,0,8572489,8574927
65,ftell.c,0,8575728,8576511
66,setlocal.c,0,8578576,8580879
67,threadex.c,0,8581424,8582127
68,fgets.c,0,8582128,8583519
69,vsprintf.c,0,8583520,8590559
70,gmtime.c,0,8590816,8594255
71,swprintf.c,0,8594256,8598335
72,mlock.c,0,8598896,268521023
73,output.c,0,8606720,8615903
74,_freebuf.c,0,8629936,8636431
75,sprintf.c,0,8636432,1785787919
76,_filbuf.c,0,8643846,8659090
77,stdenvp.c,0,8659740,8665983
78,asctime.c,0,8665984,8673183
79,mbtowc.c,0,8674112,8676751
80,_getbuf.c,0,8676752,8678511
81,inithelp.c,0,8684892,8687359
82,fputwc.c,0,8691056,8697391
83,_flsbuf.c,0,8697392,8705621
84,\real\cmn\clipdraw.c,0,8705622,8756623
85,\real\cmn\clip.c,0,8756732,8771675
86,\real\pc\threads.c,0,8773296,8777343
87,\real\cmn\printstr.c,0,8777344,8780207
88,\real\cmn\assert.c,0,8780208,8781679
89,C:\TheSims\Sims\SimsBuild\Code\Resolve\RsrcCollection.cpp,0,8788752,8790863
90,C:\TheSims\Sims\SimsBuild\Code\Resolve\RsrcType.cpp,0,8794352,8795439
91,C:\TheSims\Sims\SimsBuild\Code\Resolve\RsrcMgr.cpp,0,8795440,8800255
92,C:\TheSims\Sims\SimsBuild\Code\CTGLib\CTGFile.cpp,0,8806816,8825759
93,C:\TheSims\Sims\SimsBuild\Code\CTGLib\CTGString.cpp,0,8838880,8841023
94,C:\TheSims\Sims\SimsBuild\Code\Framework\gzframe.cpp,0,8852608,8854735
95,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDD3DStub.cpp,0,8860576,8872511
96,C:\TheSims\Sims\SimsBuild\Code\Framework\GZMainWindowW95.cpp,0,8877328,8887663
97,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDDamageList.cpp,0,8891360,8908623
98,C:\TheSims\Sims\SimsBuild\Code\Framework\GZBuffer.cpp,0,8908992,8949087
100,C:\TheSims\Sims\SimsBuild\Code\Framework\RZString.cpp,0,8949088,8952463
101,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWin.CPP,0,8952464,8976751
102,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinMgrW95.CPP,0,8978176,8994751
103,C:\TheSims\Sims\SimsBuild\Code\U3D\U3DTransform.cpp,0,9006576,9009263
104,C:\TheSims\Sims\SimsBuild\Code\U3D\u3dalgebra3.cpp,0,9009680,9015759
105,C:\TheSims\Sims\SimsBuild\Code\DDD\dddviewport3d.cpp,0,9017696,9069951
107,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDRenderObject.cpp,0,9075168,9077695
109,C:\TheSims\Sims\SimsBuild\Code\Resolve\RsrcPkt.cpp,0,9078048,9082175
110,C:\TheSims\Sims\SimsBuild\Code\DDD\dddlight.cpp,0,9082176,9083375
111,C:\TheSims\Sims\SimsBuild\Code\DDD\ddddevice3d.cpp,0,9083856,9103471
113,C:\TheSims\Sims\SimsBuild\Code\DDD\dddanimdevice.cpp,0,9107472,9214191
115,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinBtn.CPP,0,9225248,9239855
116,C:\TheSims\Sims\SimsBuild\Code\DDD\dddcamera.cpp,0,9240400,9245199
117,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinMsgBox.CPP,0,9251616,9258063
119,C:\TheSims\Sims\SimsBuild\Code\Framework\GZBufferW95.cpp,0,9269968,9274447
121,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDRenderMesh.cpp,0,9294880,9301471
122,C:\TheSims\Sims\SimsBuild\Code\Framework\RZCursorW95.cpp,0,9310736,9313375
124,C:\TheSims\Sims\SimsBuild\Code\Framework\DefaultTTWindow.cpp,0,9331680,9333871
125,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinGenDlg.cpp,0,9334112,9339023
126,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinTutorialHighlight.cpp,0,9339024,9341695
127,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinText.cpp,0,9341696,9346015
128,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinPieMenu.cpp,0,9346016,9353055
129,C:\TheSims\Sims\SimsBuild\Code\Framework\RZCmdLine.cpp,0,9360624,9364543
130,C:\TheSims\Sims\SimsBuild\Code\Framework\GZScreenBufferW95.cpp,0,9364544,9376623
131,C:\TheSims\Sims\SimsBuild\Code\Framework\RZThread.cpp,0,9379104,9394431
132,C:\TheSims\Sims\SimsBuild\Code\Framework\RZFile.cpp,0,9400208,9403295
133,C:\TheSims\Sims\SimsBuild\Code\Framework\RZColor.cpp,0,9405568,9407999
134,C:\TheSims\Sims\SimsBuild\Code\Framework\gzapp.cpp,0,9408000,9409343
135,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinSplashScreen.cpp,0,9409344,9414543
136,C:\TheSims\Sims\SimsBuild\Code\Framework\GZGraphicSystemW95.cpp,0,9415664,9427343
137,C:\TheSims\Sims\SimsBuild\Code\Framework\gzwinimemgr.cpp,0,9431280,9435199
138,C:\TheSims\Sims\SimsBuild\Code\Framework\gzwintextedit2.cpp,0,9437792,9463647
139,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinTextList.cpp,0,9468672,9475135
140,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinSlider.cpp,0,9475136,9480447
141,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinScrollbar.cpp,0,9480720,9485951
142,C:\TheSims\Sims\SimsBuild\Code\Framework\GZSystemButton.cpp,0,9485952,9488911
143,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDRenderObjectFactory.cpp,0,9489136,9493119
144,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDTextureMgr.cpp,0,9496768,9502511
145,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDTexture.cpp,0,9511280,9513039
146,C:\TheSims\Sims\SimsBuild\Code\U3D\U3DMesh.cpp,0,9514416,9534511
147,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDRenderDIPVBMesh.cpp,0,9544224,9551055
148,C:\TheSims\Sims\SimsBuild\Code\Framework\RZCallbackTimer.cpp,0,9551152,9553183
149,C:\TheSims\Sims\SimsBuild\Code\Framework\GZSnd.cpp,0,9553184,9603375
151,C:\TheSims\Sims\SimsBuild\Code\Framework\RZRandom.cpp,0,9622576,9624191
152,C:\TheSims\Sims\SimsBuild\Code\U3D\U3DQuaternion.cpp,0,9624192,9626959
153,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDRenderDIPMesh.cpp,0,9626960,9633407
155,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDRenderGroup.cpp,0,9636224,9636863
156,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDMaterialMgr.cpp,0,9639008,9642591
157,C:\TheSims\Sims\SimsBuild\Code\Framework\RZLanguage.cpp,0,9650720,9684863
158,C:\TheSims\Sims\SimsBuild\Code\Framework\GZMessage.cpp,0,9695056,9698335
159,C:\TheSims\Sims\SimsBuild\Code\Framework\GZSndSys.cpp,0,9710512,9723039
160,C:\TheSims\Sims\SimsBuild\Code\Framework\GZBufferBMPProxy.cpp,0,9742368,9751183
161,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDPrivExBuf.cpp,0,9751184,9754991
162,C:\TheSims\Sims\SimsBuild\Code\Framework\GZFontSys.cpp,0,9755760,9759167
163,C:\TheSims\Sims\SimsBuild\Code\U3D\U3DCamera.cpp,0,9763152,9768015
164,C:\TheSims\Sims\SimsBuild\Code\Framework\GZWinCheatHelp.cpp,0,9768016,9771407
165,C:\TheSims\Sims\SimsBuild\Code\Framework\GZBufferSurfaceW95.cpp,0,9771408,9784255
166,C:\TheSims\Sims\SimsBuild\Code\DDD\DDDExecuteBuffer.cpp,0,9784256,9785999
167,C:\TheSims\Sims\SimsBuild\Code\Framework\DBCFont.cpp,0,9797088,9799919
168,C:\TheSims\Sims\SimsBuild\Code\Framework\GZFont.cpp,0,9802160,9808719
169,C:\TheSims\Sims\SimsBuild\Code\Framework\gzdbfontkorean.cpp,0,9808720,9818511
170,C:\TheSims\Sims\SimsBuild\Code\Framework\gzdbfontThai.cpp,0,9819888,9826959
171,C:\TheSims\Sims\SimsBuild\Code\Framework\RZDate.cpp,0,9827184,9833391
172,C:\TheSims\Sims\SimsBuild\Code\Framework\GZFontGimex.cpp,0,9833392,9836895
173,fstream.cpp,0,9843376,9845423
174,_strstre.cpp,0,9848640,9856703
175,ofstream.cpp,0,9856704,9861983
176,streamb.cpp,0,9863840,9867231
177,fputs.c,0,9880240,9886399
178,mktemp.c,0,9886400,9887103
179,tmpfile.c,0,9887104,9888831
180,popen.c,0,9888832,9891999
181,puts.c,0,9892000,9893487
182,fgetc.c,0,9893488,9900559
183,strlwr.c,0,9900560,9903807
184,setenv.c,0,9903808,9905967
185,spawnve.c,0,9905968,9913071
186,thread.c,0,9955670,9958159
187,dumpout.cpp,0,9958160,10345153
188,strex.cpp,0,10345154,10350367
189,except.cpp,0,10350368,10350868
190,dumpinit.cpp,0,10351347,10351726
191,timecore.cpp,0,10353397,10357339
192,dlgfile.cpp,0,10357340,10361295
193,winctrl2.cpp,0,10361296,10392310
194,arcstrm.cpp,0,10392311,10414351
195,list_p.cpp,0,10414352,10438374
196,array_b.cpp,0,10438375,10441318
197,array_w.cpp,0,10441319,11002959
198,array_d.cpp,0,10444327,10450198
199,array_p.cpp,0,10450199,10453062
200,array_o.cpp,0,10453063,10456134
201,array_s.cpp,0,10456135,10460299
202,map_pp.cpp,0,10460300,10477211
203,map_wp.cpp,0,10477212,10479451
204,map_pw.cpp,0,10479452,10481659
205,map_wo.cpp,0,10481660,10484203
206,map_sp.cpp,0,10484204,10486763
207,map_so.cpp,0,10486764,10489691
208,map_ss.cpp,0,10489692,10501170
209,winocc.cpp,0,10501171,10508046
210,winhand.cpp,0,10508047,10511951
211,thrdcore.cpp,0,10511952,10518058
212,cmdtarg.cpp,0,10518059,10522232
213,winmenu.cpp,0,10522233,10982173
214,dlgcore.cpp,0,10523816,10529199
215,wincore.cpp,0,10529718,10557918
216,strcore.cpp,0,10557919,10561751
217,winstr.cpp,0,10561752,10563704
218,filelist.cpp,0,10563705,10567391
219,filex.cpp,0,10567392,10569631
220,dlgtempl.cpp,0,10569632,10572826
221,filecore.cpp,0,10572827,10581071
222,appui.cpp,0,10581072,10679343
223,wingdi.cpp,0,10616721,10621194
224,docsingl.cpp,0,10621195,10623070
225,doccore.cpp,0,10623071,10632063
226,viewcore.cpp,0,10632064,10635695
227,arccore.cpp,0,10635824,10651924
228,viewscrl.cpp,0,10651925,10657420
229,dlgdata.cpp,0,10679344,10684959
230,winfrmx.cpp,0,10685370,10692558
231,bartool.cpp,0,10692559,10995711
232,bardock.cpp,0,10708438,10711407
233,barcore.cpp,0,10711552,10719284
234,appui3.cpp,0,10719285,11001341
235,winsplit.cpp,0,10726000,10745279
236,apphelp.cpp,0,10745280,10746111
237,docmgr.cpp,0,10746112,11006927
238,filemem.cpp,0,10752419,10758176
239,winctrl1.cpp,0,10758177,10791967
240,olelock.cpp,0,10791968,10792527
241,winfrm.cpp,0,10792528,10811839
242,wingdix.cpp,0,10811840,10815517
243,winctrl3.cpp,0,10815518,10822715
244,dlgprop.cpp,0,10822716,10837368
245,trckrect.cpp,0,10839502,10843288
246,winmini.cpp,0,10843338,10870791
247,dumpcont.cpp,0,10886640,10888111
248,afxtrace.cpp,0,10888112,10909936
249,appinit.cpp,0,10946936,10968537
250,afxstate.cpp,0,10969717,10970175
251,afxtls.cpp,0,10971152,10975294
252,appcore.cpp,0,10975295,10978279
253,olefact.cpp,0,10980384,268440346
254,appui2.cpp,0,10983696,10985823
255,oleinit.cpp,0,10985824,10988137
256,barstat.cpp,0,10988138,10990959
257,afxcrit.cpp,0,10996240,10997167
258,olemsgf.cpp,0,11006928,11007677
259,olecnvrt.cpp,0,11007678,11009183
260,oleunk.cpp,0,11011006,11028535
261,olemisc.cpp,0,11032418,11041103
262,olestrm.cpp,0,11041104,11046555
263,oledoc1.cpp,0,11046556,11054851
264,olecli1.cpp,0,11054852,11076495
265,olecli3.cpp,0,11076496,11100268
266,oledlgs2.cpp,0,11100269,11101402
267,oledlgs1.cpp,0,11101403,11119463
268,olecli2.cpp,0,11119464,11131391
269,oletsvr.cpp,0,11145895,11147758
270,oledobj2.cpp,0,11147759,11153551
271,oleenum.cpp,0,11153920,11155908
272,oledobj1.cpp,0,11155909,11165015
273,olelink.cpp,0,11165016,11172415
274,olereg.cpp,0,11183936,11188815
275,oledrop1.cpp,0,11188816,11190431
276,olesvr1.cpp,0,11190857,11220027
277,olesvr2.cpp,0,11220028,11230079
278,oledisp1.cpp,0,11245888,11257279
279,appprnt.cpp,0,11257504,11271695
280,viewprev.cpp,0,11271696,11282799
281,viewprnt.cpp,0,11282800,11286671
282,dcprev.cpp,0,11287651,11296355
283,appterm.cpp,0,11296356,11311759
284,i386\chkesp.c,0,268440347,268497679
285,tidtable.c,0,268541520,268564159
286,shell\themes\uxtheme\info.cpp,0,1957567677,1957678109
287,shell\themes\uxtheme\render.cpp,0,1957573586,1957574881
290,onecore\com\combase\dcomrem\giptbl.cxx,0,1963555168,1964455389
291,onecore\com\combase\dcomrem\callmgr.cxx,0,1963571941,1965116180
292,onecore\com\combase\dcomrem\ctxchnl.cxx,0,1963581616,1965105119
293,onecore\com\combase\winrtbase\brokeredactivation.cpp,0,1963590738,1963593727
294,onecore\com\combase\dcomrem\marshal.cxx,0,1963593728,1965031330
295,onecore\com\combase\dcomrem\riftbl.cxx,0,1963612833,1964325215
296,onecore\com\combase\dcomrem\callctrl.cxx,0,1963615755,1964136527
297,onecore\com\combase\dcomrem\modernsta.cpp,0,1963623888,1964964959
298,onecore\com\combase\dcomrem\channelb.cxx,0,1963625505,1964952611
299,onecore\com\combase\dcomrem\call.cxx,0,1963630531,1964970562
300,onecore\com\combase\callheaders\processincomingcallmessage.cpp,0,1963633340,1963633691
301,onecore\com\combase\dcomrem\aprtmnt.cxx,0,1963638933,1965090978
302,onecore\com\combase\dcomrem\winrtasyncchannel.cpp,0,1963649084,1965107551
303,onecore\com\combase\dcomrem\crossctx.cxx,0,1963649764,1964977007
304,onecore\com\combase\dcomrem\coapi.cxx,0,1963663001,1964987614
305,onecore\com\combase\callheaders\localcallheaders.cpp,0,1963666396,1963669727
306,onecore\com\combase\dcomrem\resolver.cxx,0,1963683200,1964944068
307,onecore\com\combase\catalog\catalog.cxx,0,1963685385,1963939462
308,onecore\com\combase\dcomrem\security.cxx,0,1963685828,1964355002
309,onecore\com\combase\class\compobj.cxx,0,1963693989,1964351199
310,onecore\com\combase\dcomrem\ipidtbl.cxx,0,1963696587,1964355844
